doctor_id,name,specialty_group,years_experience,price,rating,active_status,language,video_available
D-1001,Dr. Ethan Hill,General Physician,26,50,4.2,true,English,true
D-1002,Dr. Helen Kim,General Physician,21,60,4.0,false,Spanish,true
D-1003,Dr. Sarah Wu,General Physician,25,80,4.7,true,Mandarin,true
D-1004,Dr. Aarav Price,General Physician,25,60,4.3,true,Hindi,false
D-1005,Dr. Daniel Ahmed,General Physician,14,75,4.3,false,Arabic,false
D-1006,Dr. Sofia Kim,General Physician,20,50,4.8,true,French,true
D-1007,Dr. Camila Martinez,General Physician,24,45,4.8,true,Korean,false
D-1008,Dr. Mei Thomas,General Physician,23,95,4.4,true,English,true
D-1009,Dr. Camila Green,General Physician,23,40,4.5,true,Spanish,true
D-1010,Dr. Sarah Miller,General Physician,24,55,4.8,true,Mandarin,false
D-1011,Dr. Omar Wilson,General Physician,11,35,4.2,true,Hindi,true
D-1012,Dr. Victor Thomas,General Physician,7,50,4.1,true,Arabic,true
D-1013,Dr. Riya Wilson,General Physician,14,45,5.0,true,French,true
D-1014,Dr. Ethan Chen,General Physician,23,40,4.8,true,Korean,true
D-1015,Dr. Maya Walker,General Physician,11,70,4.9,false,English,true
D-1016,Dr. Mei Garcia,General Physician,6,50,4.4,true,Spanish,true
D-1017,Dr. Kenji Hassan,Urgent Care,23,50,4.8,true,Mandarin,true
D-1018,Dr. Hana Young,Urgent Care,27,70,4.9,true,Hindi,false
D-1019,Dr. Robert Johnson,Urgent Care,10,30,4.2,true,Arabic,true
D-1020,Dr. Camila Young,Urgent Care,27,40,4.1,true,French,true
D-1021,Dr. Andre Lopez,Urgent Care,9,70,4.8,true,Korean,true
D-1022,Dr. Robert Anderson,Urgent Care,19,65,4.1,true,English,true
D-1023,Dr. Leila Scott,Urgent Care,10,30,4.1,true,Spanish,true
D-1024,Dr. Priya Nair,Urgent Care,19,45,4.3,true,Mandarin,true
D-1025,Dr. Nathan King,Urgent Care,18,45,4.8,true,Hindi,false
D-1026,Dr. Zara Ahmed,Urgent Care,16,60,4.5,true,Arabic,true
D-1027,Dr. Priya Hassan,Urgent Care,10,45,4.2,true,French,true
D-1028,Dr. Liam Nair,Urgent Care,17,90,4.9,true,Korean,true
D-1029,Dr. Aarav Kim,Urgent Care,27,95,4.2,true,English,true
D-1030,Dr. Arjun Price,Urgent Care,15,30,5.0,true,Spanish,true
D-1031,Dr. Sarah Clark,Urgent Care,7,45,4.3,true,Mandarin,true
D-1032,Dr. Arjun Scott,Urgent Care,18,70,4.9,true,Hindi,false
D-1033,Dr. Isabella Nair,Dermatology,22,35,4.7,true,Arabic,true
D-1034,Dr. Andre Martinez,Dermatology,22,35,4.4,true,French,true
D-1035,Dr. Omar Flores,Dermatology,11,60,4.1,true,Korean,true
D-1036,Dr. Camila Rao,Dermatology,17,75,5.0,true,English,true
D-1037,Dr. Marcus Ortega,Dermatology,14,35,4.9,true,Spanish,true
D-1038,Dr. Nina Adams,Dermatology,28,80,4.5,true,Mandarin,false
D-1039,Dr. Fatima Patel,Dermatology,6,35,4.7,true,Hindi,true
D-1040,Dr. Priya Haddad,Dermatology,24,80,4.9,true,Arabic,false
D-1041,Dr. Zara Singh,Dermatology,4,30,4.3,true,French,true
D-1042,Dr. Sarah Lopez,Dermatology,20,30,4.1,true,Korean,false
D-1043,Dr. Robert Scott,Dermatology,20,40,4.4,false,English,true
D-1044,Dr. Anika Ahmed,Dermatology,9,80,4.2,false,Spanish,true
D-1045,Dr. Liam Price,Dermatology,28,90,4.2,true,Mandarin,true
D-1046,Dr. Yara Flores,Dermatology,11,40,4.8,false,Hindi,true
D-1047,Dr. Javier Thomas,Dermatology,14,50,4.8,true,Arabic,true
D-1048,Dr. Victor Garcia,Dermatology,11,95,4.1,true,French,true
D-1049,Dr. Helen Garcia,Ophthalmology,3,35,4.9,true,Korean,false
D-1050,Dr. Zara Ahmed,Ophthalmology,26,90,4.3,true,English,true
D-1051,Dr. Javier Patel,Ophthalmology,4,85,4.4,true,Spanish,true
D-1052,Dr. Priya Adams,Ophthalmology,13,80,4.8,true,Mandarin,true
D-1053,Dr. Yara Nguyen,Ophthalmology,15,85,4.3,true,Hindi,true
D-1054,Dr. Isabella Adams,Ophthalmology,21,50,4.4,true,Arabic,true
D-1055,Dr. Riya Green,Ophthalmology,23,55,4.5,true,French,true
D-1056,Dr. Hana Kim,Ophthalmology,12,70,4.7,true,Korean,true
D-1057,Dr. Liam Johnson,Ophthalmology,10,90,4.2,false,English,true
D-1058,Dr. Camila Thomas,Ophthalmology,16,80,4.6,true,Spanish,true
D-1059,Dr. Grace Rao,Ophthalmology,27,95,4.8,false,Mandarin,false
D-1060,Dr. Amara Thomas,Ophthalmology,4,70,4.2,true,Hindi,true
D-1061,Dr. Amara Allen,Ophthalmology,22,55,5.0,true,Arabic,true
D-1062,Dr. Noah Price,Ophthalmology,26,95,4.5,true,French,true
D-1063,Dr. Amara Clark,Ophthalmology,23,45,4.3,false,Korean,true
D-1064,Dr. Omar Young,Ophthalmology,5,40,4.2,true,English,true
D-1065,Dr. Yara Khan,ENT,13,70,4.5,false,Spanish,true
D-1066,Dr. Riya Hill,ENT,27,75,4.4,false,Mandarin,true
D-1067,Dr. Yara Young,ENT,26,85,4.5,true,Hindi,true
D-1068,Dr. Zara Clark,ENT,3,60,4.3,true,Arabic,false
D-1069,Dr. Maya Ortega,ENT,22,70,4.0,true,French,true
D-1070,Dr. Fatima Thomas,ENT,8,30,4.3,true,Korean,true
D-1071,Dr. Sofia Singh,ENT,27,95,4.4,true,English,true
D-1072,Dr. Arjun Ahmed,ENT,10,80,4.1,true,Spanish,false
D-1073,Dr. Liam Wu,ENT,3,75,4.2,true,Mandarin,true
D-1074,Dr. Maya Patel,ENT,27,55,4.2,true,Hindi,true
D-1075,Dr. Nina Hassan,ENT,21,30,4.9,true,Arabic,true
